HourUTC,HourDK,PriceArea,SpotPurchase,SpotSale,SpotPriceDKK,ElbasAveragePriceDKK,ElbasMaxPriceDKK,ElbasMinPriceDKK,SpotPriceEUR,ElbasAveragePriceEUR,ElbasMaxPriceEUR,ElbasMinPriceEUR
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,DK1,3829.7,1943.5,237.33,0,0,0,31.77,0,0,0
2020-01-01T00:00:00+00:00,2020-01-01T01:00:00,DK2,1094.8,594.7,237.33,0,0,0,31.77,0,0,0
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,DK1,3772,2110.5,235.83,0,0,0,31.57,0,0,0
2020-01-01T01:00:00+00:00,2020-01-01T02:00:00,DK2,1054,574.6,235.83,0,0,0,31.57,0,0,0
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,DK1,3716.6,2295.1,233.66,0,0,0,31.28,0,0,0
2020-01-01T02:00:00+00:00,2020-01-01T03:00:00,DK2,1000.9,567.4,233.66,0,0,0,31.28,0,0,0
2020-01-01T03:00:00+00:00,2020-01-01T04:00:00,DK1,3269,2356.1,230.45,0,0,0,30.85,0,0,0
2020-01-01T03:00:00+00:00,2020-01-01T04:00:00,DK2,916.8,545.1,230.45,0,0,0,30.85,0,0,0
2020-01-01T04:00:00+00:00,2020-01-01T05:00:00,DK1,2264,2435.1,225.15,0,0,0,30.14,0,0,0
2020-01-01T04:00:00+00:00,2020-01-01T05:00:00,DK2,934.7,562,225.15,0,0,0,30.14,0,0,0
2020-01-01T05:00:00+00:00,2020-01-01T06:00:00,DK1,2633.7,2500.1,225.37,0,0,0,30.17,0,0,0
2020-01-01T05:00:00+00:00,2020-01-01T06:00:00,DK2,1004.2,549.3,225.37,0,0,0,30.17,0,0,0
2020-01-01T06:00:00+00:00,2020-01-01T07:00:00,DK1,3055,2524.8,224.1,0,0,0,30,0,0,0
2020-01-01T06:00:00+00:00,2020-01-01T07:00:00,DK2,1053.8,679.8,224.1,0,0,0,30,0,0,0
2020-01-01T07:00:00+00:00,2020-01-01T08:00:00,DK1,3809.2,2605.6,228.81,0,0,0,30.63,0,0,0
2020-01-01T07:00:00+00:00,2020-01-01T08:00:00,DK2,1105,804.4,228.81,0,0,0,30.63,0,0,0
2020-01-01T08:00:00+00:00,2020-01-01T09:00:00,DK1,3810.1,2823.8,228.51,0,0,0,30.59,0,0,0
2020-01-01T08:00:00+00:00,2020-01-01T09:00:00,DK2,1142.3,861.3,228.51,0,0,0,30.59,0,0,0
2020-01-01T09:00:00+00:00,2020-01-01T10:00:00,DK1,3491.7,2932.6,226.12,0,0,0,30.27,0,0,0
2020-01-01T09:00:00+00:00,2020-01-01T10:00:00,DK2,1167.9,917.1,226.12,0,0,0,30.27,0,0,0
2020-01-01T10:00:00+00:00,2020-01-01T11:00:00,DK1,3483.4,2926.4,226.64,219.833271,224.165697,216.023724,30.34,29.43,30.01,28.92
2020-01-01T10:00:00+00:00,2020-01-01T11:00:00,DK2,1154.9,935,226.64,225.211455,229.917366,216.695997,30.34,30.15,30.78,29.01
2020-01-01T11:00:00+00:00,2020-01-01T12:00:00,DK1,3845.1,3076.1,228.51,0,0,0,30.59,0,0,0
2020-01-01T11:00:00+00:00,2020-01-01T12:00:00,DK2,1167.7,959.9,228.51,0,0,0,30.59,0,0,0
2020-01-01T12:00:00+00:00,2020-01-01T13:00:00,DK1,3685.7,3153,224.4,218.936907,239.852067,179.2728,30.04,29.31,32.11,24
2020-01-01T12:00:00+00:00,2020-01-01T13:00:00,DK2,1174.6,964.3,224.4,209.226297,239.0304,183.75462,30.04,28.01,32,24.6
2020-01-01T13:00:00+00:00,2020-01-01T14:00:00,DK1,3897,3260.8,228.59,0,0,0,30.6,0,0,0
2020-01-01T13:00:00+00:00,2020-01-01T14:00:00,DK2,1196.6,929.8,228.59,0,0,0,30.6,0,0,0
2020-01-01T14:00:00+00:00,2020-01-01T15:00:00,DK1,3928.8,3127.6,232.25,246.798888,254.567376,231.5607,31.09,33.04,34.08,31
2020-01-01T14:00:00+00:00,2020-01-01T15:00:00,DK2,1236.2,914.3,232.25,242.839947,250.23495,231.5607,31.09,32.51,33.5,31
2020-01-01T15:00:00+00:00,2020-01-01T16:00:00,DK1,3993,2973.2,235.53,263.755107,291.3183,239.0304,31.53,35.31,39,32
2020-01-01T15:00:00+00:00,2020-01-01T16:00:00,DK2,1376,878.7,235.53,255.538437,291.3183,239.0304,31.53,34.21,39,32
2020-01-01T16:00:00+00:00,2020-01-01T17:00:00,DK1,4104.3,2870.8,237.4,0,0,0,31.78,0,0,0
2020-01-01T16:00:00+00:00,2020-01-01T17:00:00,DK2,1491.2,871.8,237.4,0,0,0,31.78,0,0,0
2020-01-01T17:00:00+00:00,2020-01-01T18:00:00,DK1,4059.3,2886.3,236.35,0,0,0,31.64,0,0,0
2020-01-01T17:00:00+00:00,2020-01-01T18:00:00,DK2,1476.8,853.8,236.35,0,0,0,31.64,0,0,0
2020-01-01T18:00:00+00:00,2020-01-01T19:00:00,DK1,4000.1,2896.2,234.86,239.329188,253.9698,227.82585,31.44,32.04,34,30.5
2020-01-01T18:00:00+00:00,2020-01-01T19:00:00,DK2,1404.4,840.7,234.86,249.48798,268.16223,209.525085,31.44,33.4,35.9,28.05
2020-01-01T19:00:00+00:00,2020-01-01T20:00:00,DK1,3927.3,2928.2,234.19,272.419959,286.164207,220.35615,31.35,36.47,38.31,29.5
2020-01-01T19:00:00+00:00,2020-01-01T20:00:00,DK2,1342.3,799.5,234.19,254.71677,274.660869,220.35615,31.35,34.1,36.77,29.5
2020-01-01T20:00:00+00:00,2020-01-01T21:00:00,DK1,3867.8,2903.7,232.1,237.984642,297.29406,216.6213,31.07,31.86,39.8,29
2020-01-01T20:00:00+00:00,2020-01-01T21:00:00,DK2,1258.1,793.7,232.1,250.309647,279.217386,231.112518,31.07,33.51,37.38,30.94
2020-01-01T21:00:00+00:00,2020-01-01T22:00:00,DK1,3810,2930.8,231.27,241.495401,261.4395,216.6213,30.96,32.33,35,29
2020-01-01T21:00:00+00:00,2020-01-01T22:00:00,DK2,1149.1,806.5,231.27,257.331165,288.255723,202.503567,30.96,34.45,38.59,27.11
2020-01-01T22:00:00+00:00,2020-01-01T23:00:00,DK1,3759.4,2925.6,228.66,283.923297,285.118449,283.8486,30.61,38.01,38.17,38
2020-01-01T22:00:00+00:00,2020-01-01T23:00:00,DK2,1060.6,767.2,228.66,270.627231,281.458296,246.5001,30.61,36.23,37.68,33
2020-01-01T23:00:00+00:00,2020-01-02T00:00:00,DK1,3674.7,2890.2,229.93,164.3818,164.3818,164.3818,30.78,22,22,22
2020-01-01T23:00:00+00:00,2020-01-02T00:00:00,DK2,971.9,635.6,229.93,169.089097,234.244065,112.0785,30.78,22.63,31.35,15
